"Year","County","Index.Total","Violent.Total","Murder","Rape","Robbery","Aggravated.Assault","Property.Total","Burglary","Larceny","Motor.Vehicle.Theft","Region","Population"
1998,"Columbia",23.707304754088,3.8986047098933,0.0157838247364101,0.126270597891281,0.441947092619484,3.31460319464613,19.8087000441947,5.77687985352611,13.1952774796389,0.836542711029737,"Non-New York City",63356
1999,"Columbia",21.5448376227913,3.1637059651676,0.015818529825838,0.063274119303352,0.442918835123464,2.64169448091494,18.3811316576237,4.06536216524036,13.7937580081307,0.522011484252654,"Non-New York City",63217
2000,"Columbia",17.8837555886736,2.31474141484605,0.0158543932523702,0.0634175730094809,0.332942258299775,1.90252719028443,15.5690141738276,3.18673304372642,11.7481054000063,0.634175730094809,"Non-New York City",63074
2001,"Columbia",17.0603466077868,1.84264451257287,0.0158848664876972,0.0317697329753943,0.285927596778549,1.50906231633123,15.2177020952139,3.16108843105174,11.5959525360189,0.460661128143218,"Non-New York City",62953
2002,"Columbia",16.9826849419138,1.8043113544997,0,0.0949637554999842,0.269063973916622,1.44028362508309,15.1783735874141,3.73524104966604,11.1265866860815,0.316545851666614,"Non-New York City",63182
2003,"Columbia",14.0117528118286,1.01099456590421,0,0.110577530645773,0.173764691014786,0.72665234424365,13.0007582459244,2.48009604448376,9.90458738784279,0.616074813597877,"Non-New York City",63304
2004,"Columbia",17.0002828143167,1.16268107972221,0.0157119064827326,0.0942714388963957,0.125695251861861,0.927002482481224,15.8376017345945,2.56104075668542,12.6795085315652,0.597052446343839,"Non-New York City",63646
2005,"Columbia",17.2324497386883,1.39680148155123,0.03138879733823,0.09416639201469,0.172638385360265,1.09860790683805,15.835648257137,3.20165732849946,12.3985749486008,0.235415980036725,"Non-New York City",63717
2006,"Columbia",20.8586248758415,1.97076954609236,0.0472984691062166,0.252258501899822,0.299556971006038,1.37165560408028,18.8878553297492,4.43028993961562,14.0318791681776,0.425686221955949,"Non-New York City",63427
2007,"Columbia",21.4724893583478,2.34904619265332,0.0157654106889484,0.173419517578433,0.268011981712124,1.89184928267381,19.1234431656945,4.587734510484,13.9366230490304,0.599085606180041,"Non-New York City",63430
2008,"Columbia",21.121527832672,2.16590517445813,0.0316190536417245,0.0948571609251735,0.158095268208623,1.88133369168261,18.9556226582138,4.34761987573712,14.2760027192386,0.332000063238107,"Non-New York City",63253
2009,"Columbia",18.7233232312013,1.79299620773368,0,0.126937784618314,0.0952033384637355,1.57085508465164,16.9303270234676,4.71256525395491,11.9956206464307,0.222141123082049,"Non-New York City",63023
2010,"Columbia",19.2347335204478,1.49057291914435,0.0158571587143016,0.158571587143016,0.126857269714413,1.18928690357262,17.7441606013035,3.75814661528947,13.621299335585,0.364714650428936,"Non-New York City",63063
2011,"Columbia",19.7338962451225,1.53521397044713,0.0159918121921576,0.0799590609607881,0.207893558498049,1.23136953879614,18.1986822746754,4.02993667242372,13.9128766071771,0.255868995074522,"Non-New York City",62532
2012,"Columbia",22.8182546036829,1.60128102481986,0,0.256204963971177,0.240192153722978,1.1048839071257,21.2169735788631,4.19535628502802,16.8294635708567,0.192153722978383,"Non-New York City",62450
2013,"Columbia",18.1326725982656,1.22278892410664,0,0.128714623590173,0.273518575129117,0.82055572538735,16.9098836741589,3.33049088539572,13.3541421974804,0.225250591282802,"Non-New York City",62153
2014,"Columbia",14.9460907740977,0.758602879462845,0,0.080702433985409,0.129123894376654,0.548776551100781,14.1874878946349,2.53405642714184,11.3306217315514,0.322809735941636,"Non-New York City",61956
2015,"Columbia",14.5644497241705,1.67613220289336,0.0488193845502921,0.650925127337228,0.146458153650876,0.829929537354966,12.8883175212771,2.61997363753234,10.0405200891767,0.22782379456803,"Non-New York City",61451
2016,"Columbia",13.7662209503133,1.64470979095739,0,0.657883916382954,0.0986825874574431,0.888143287116988,12.1215111593559,2.2039111198829,9.73668196246772,0.180918077005312,"Non-New York City",60801
2017,"Columbia",16.066454436928,2.20519962859796,0.016580448335323,0.646637485077597,0.182384931688553,1.35959676349648,13.86125480833,2.3046823186099,11.0923199363311,0.464252553389044,"Non-New York City",60312
2018,"Columbia",14.9201363362962,1.70420370246608,0.016707879435942,0.735146695181448,0,0.952349127848693,13.2159326338301,1.83786673795362,11.0606161865936,0.317449709282898,"Non-New York City",59852
2019,"Columbia",12.0841864992783,1.62800845893055,0.0335671847202175,0.570642140243698,0.117485146520761,0.906313987445873,10.4561780403478,1.76227719781142,8.39179618005438,0.302104662481958,"Non-New York City",59582
2020,"Columbia",11.7757889778615,1.51054948267741,0.0162424675556711,0.438546624003119,0.178667143112382,0.877093248006237,10.2652394951841,1.54303441778875,8.33238585605925,0.389819221336105,"Non-New York City",61567
2021,"Columbia",9.75193023743129,1.30563032930898,0.0161188929544319,0.467447895678525,0.112832250681023,0.709231289995003,8.44629990812231,1.1605602927191,6.85052950563355,0.435210109769661,"Non-New York City",62039
2022,"Columbia",11.6666122768658,0.8811147733577,0.0163169402473648,0.244754103710472,0.0652677609894593,0.554775968410404,10.7854975035081,1.17481969781027,9.23538818000848,0.375289625689391,"Non-New York City",61286
1990,"Cortland",43.3592712864816,1.96066417498928,0.0204235851561383,0.285930192185936,0.306353777342075,1.34795662030513,41.3986071114924,8.45536425464126,31.8199456732635,1.12329718358761,"Non-New York City",48963
1991,"Cortland",44.5008116883117,1.68425324675325,0.0202922077922078,0.344967532467532,0.223214285714286,1.09577922077922,42.8165584415584,7.3051948051948,34.4561688311688,1.05519480519481,"Non-New York City",49280
1992,"Cortland",42.5858585858586,2.22222222222222,0.0606060606060606,0.383838383838384,0.303030303030303,1.47474747474747,40.3636363636364,7.15151515151515,32.2424242424242,0.96969696969697,"Non-New York City",49500
1993,"Cortland",42.2111971603743,2.05711519845111,0.0403355921264924,0.201677960632462,0.242013552758955,1.5730880929332,40.1540819619232,7.50242013552759,31.6432720232333,1.00838980316231,"Non-New York City",49584
1994,"Cortland",41.1902549391944,1.99991919518403,0.0202012039917579,0.181810835925821,0.343420467859884,1.45448668740657,39.1903357440103,6.26237323744495,31.8370974910105,1.09086501555493,"Non-New York City",49502
1995,"Cortland",42.7701891171142,1.79142153370112,0,0.142499440180771,0.244284754595607,1.40463733892474,40.9787675834131,5.94426236182644,34.0777232660872,0.95678195549946,"Non-New York City",49123
1996,"Cortland",46.0123958461602,2.62693428559701,0.0205229241062267,0.328366785699626,0.266798013380946,2.01124656241021,43.3854615605632,6.62890448631121,34.9915856011164,1.76497147313549,"Non-New York City",48726
